etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.816752	0.0219722	 0.0229376
-2.1	-1.6	10	12	0.784612	0.0185831	 0.0199337
-1.6	-1.2	10	12	0.741651	0.018337	 0.018218
-1.2	-0.8	10	12	0.673476	0.0210189	 0.0233566
-0.8	-0.3	10	12	0.619974	0.0276633	 0.0285511
-0.3	0.3	10	12	0.634256	0.0366238	 0.0361134
0.3	0.8	10	12	0.60837	0.0300367	 0.0305575
0.8	1.2	10	12	0.68643	0.0240383	 0.0240896
1.2	1.6	10	12	0.72322	0.018719	 0.0194095
1.6	2.1	10	12	0.77916	0.0161012	 0.0164548
2.1	2.4	10	12	0.809594	0.0178999	 0.0187701
-2.4	-2.1	12	14	0.838511	0.0179791	 0.018142
-2.1	-1.6	12	14	0.820206	0.0135174	 0.0136746
-1.6	-1.2	12	14	0.786196	0.0143434	 0.0148768
-1.2	-0.8	12	14	0.728742	0.0181379	 0.0184022
-0.8	-0.3	12	14	0.721422	0.021879	 0.0224753
-0.3	0.3	12	14	0.635504	0.0242554	 0.0241777
0.3	0.8	12	14	0.703335	0.0223503	 0.0222096
0.8	1.2	12	14	0.726467	0.0177508	 0.0180458
1.2	1.6	12	14	0.794685	0.0151096	 0.0154659
1.6	2.1	12	14	0.817832	0.0138733	 0.0145605
2.1	2.4	12	14	0.820689	0.0167508	 0.017781
-2.4	-2.1	14	16	0.866616	0.014256	 0.0142589
-2.1	-1.6	14	16	0.851581	0.0107056	 0.0109721
-1.6	-1.2	14	16	0.810621	0.0132943	 0.0132519
-1.2	-0.8	14	16	0.801367	0.000978479	 0.000978479
-0.8	-0.3	14	16	0.7255	0.0172705	 0.0143002
-0.3	0.3	14	16	0.69216	0.0180061	 0.0181072
0.3	0.8	14	16	0.723383	0.0159282	 0.016088
0.8	1.2	14	16	0.760473	0.0147324	 0.0145684
1.2	1.6	14	16	0.785962	0.0136577	 0.013839
1.6	2.1	14	16	0.837514	0.0107601	 0.0109114
2.1	2.4	14	16	0.85728	0.0146822	 0.0150965
-2.4	-2.1	16	18	0.871357	0.012707	 0.013648
-2.1	-1.6	16	18	0.852376	0.0085734	 0.00891599
-1.6	-1.2	16	18	0.871685	0.0105414	 0.01092
-1.2	-0.8	16	18	0.811476	0.011895	 0.0121534
-0.8	-0.3	16	18	0.780187	0.0120851	 0.0122684
-0.3	0.3	16	18	0.727625	0.0129403	 0.0131309
0.3	0.8	16	18	0.760971	0.0125096	 0.0126143
0.8	1.2	16	18	0.786759	0.0123867	 0.0120553
1.2	1.6	16	18	0.847986	0.0111432	 0.0114401
1.6	2.1	16	18	0.871758	0.0097187	 0.010045
2.1	2.4	16	18	0.875326	0.010923	 0.0114146
-2.4	-2.1	18	20	0.917542	0.00872944	 0.00911006
-2.1	-1.6	18	20	0.887956	0.00705908	 0.00724789
-1.6	-1.2	18	20	0.866364	0.00982592	 0.0123286
-1.2	-0.8	18	20	0.824919	0.00902419	 0.00919256
-0.8	-0.3	18	20	0.81049	0.0095583	 0.00963743
-0.3	0.3	18	20	0.746783	0.0114971	 0.0114878
0.3	0.8	18	20	0.82903	0.00996331	 0.0101523
0.8	1.2	18	20	0.820334	0.00975183	 0.00984674
1.2	1.6	18	20	0.864242	0.00971192	 0.0100922
1.6	2.1	18	20	0.890081	0.00808754	 0.00837267
2.1	2.4	18	20	0.888587	0.00985191	 0.00989542
-2.4	-2.1	20	22	0.92644	0.00741807	 0.00752748
-2.1	-1.6	20	22	0.901915	0.00655915	 0.00672609
-1.6	-1.2	20	22	0.872649	0.00835597	 0.00854044
-1.2	-0.8	20	22	0.84857	0.00865347	 0.00882279
-0.8	-0.3	20	22	0.843155	0.00750383	 0.00755537
-0.3	0.3	20	22	0.811279	0.00781349	 0.00789896
0.3	0.8	20	22	0.828954	0.00742678	 0.00754267
0.8	1.2	20	22	0.861343	0.00795415	 0.00800713
1.2	1.6	20	22	0.872556	0.00844601	 0.00860722
1.6	2.1	20	22	0.900027	0.00667851	 0.00667458
2.1	2.4	20	22	0.903931	0.00768397	 0.00805486
-2.4	-2.1	22	24	0.926945	0.00678248	 0.00655054
-2.1	-1.6	22	24	0.916896	0.00601288	 0.00623006
-1.6	-1.2	22	24	0.901883	0.00642927	 0.0065741
-1.2	-0.8	22	24	0.86602	0.0073232	 0.00741744
-0.8	-0.3	22	24	0.860474	0.00660971	 0.00675245
-0.3	0.3	22	24	0.836965	0.00640112	 0.00643341
0.3	0.8	22	24	0.846614	0.00629555	 0.00626183
0.8	1.2	22	24	0.876415	0.00731462	 0.00748901
1.2	1.6	22	24	0.906095	0.00699381	 0.00744424
1.6	2.1	22	24	0.91015	0.00552403	 0.00566578
