etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.919949	0.0118469	 0.012501
-2.1	-1.6	10	12	0.93805	0.00761369	 0.00781973
-1.6	-1.2	10	12	0.918611	0.0141327	 0.00961034
-1.2	-0.8	10	12	0.893384	0.012984	 0.0137612
-0.8	-0.3	10	12	0.890171	0.0176163	 0.0189381
-0.3	0.3	10	12	0.849681	0.0241443	 0.0252658
0.3	0.8	10	12	0.871519	0.0158404	 0.0167487
0.8	1.2	10	12	0.920313	0.0112389	 0.0120277
1.2	1.6	10	12	0.91928	0.0150841	 0.0107874
1.6	2.1	10	12	0.93017	0.00950952	 0.0100708
2.1	2.4	10	12	0.929733	0.012168	 0.0130554
-2.4	-2.1	12	14	0.959871	0.00783719	 0.00858055
-2.1	-1.6	12	14	0.943196	0.00736927	 0.00819401
-1.6	-1.2	12	14	0.930791	0.00751899	 0.00810092
-1.2	-0.8	12	14	0.924957	0.0088764	 0.00941543
-0.8	-0.3	12	14	0.906875	0.0114815	 0.0118361
-0.3	0.3	12	14	0.884646	0.000970064	 0.000970064
0.3	0.8	12	14	0.909777	0.0127115	 0.0138903
0.8	1.2	12	14	0.92444	0.0095234	 0.00996475
1.2	1.6	12	14	0.944814	0.00811603	 0.00878878
1.6	2.1	12	14	0.948927	0.00690327	 0.00736868
2.1	2.4	12	14	0.942869	0.00929753	 0.0100235
-2.4	-2.1	14	16	0.961321	0	 0
-2.1	-1.6	14	16	0.961343	0.00455561	 0.00494152
-1.6	-1.2	14	16	0.949455	0.000205594	 0.000205594
-1.2	-0.8	14	16	0.935419	0.00668017	 0.00705681
-0.8	-0.3	14	16	0.918541	0.00910761	 0.00932085
-0.3	0.3	14	16	0.891266	0.0112803	 0.011878
0.3	0.8	14	16	0.917813	0.00847956	 0.00870885
0.8	1.2	14	16	0.943421	0.00769024	 0.00809515
1.2	1.6	14	16	0.96384	0.00634647	 0.00684845
1.6	2.1	14	16	0.963076	0.00523	 0.00557621
2.1	2.4	14	16	0.964172	0.00568812	 0.00627702
-2.4	-2.1	16	18	0.968801	0.00590263	 0.00650083
-2.1	-1.6	16	18	0.96222	0.00388893	 0.00417437
-1.6	-1.2	16	18	0.967133	0.00432413	 0.00448086
-1.2	-0.8	16	18	0.955673	0.00567464	 0.00598414
-0.8	-0.3	16	18	0.930286	0.00562799	 0.00592238
-0.3	0.3	16	18	0.896453	0.00856951	 0.00809811
0.3	0.8	16	18	0.920103	0.00606965	 0.00638384
0.8	1.2	16	18	0.948756	0.00511544	 0.00541549
