etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
0.3	0.8	16	20	0.952861	0.00113507	 0.00114475
0.8	1.2	16	20	0.946057	0.00147432	 0.00142865
1.2	1.6	16	20	0.967348	0.00103546	 0.00104157
1.6	2.1	16	20	0.933197	0.00137075	 0.0013662
2.1	2.4	16	20	0.938761	5.84469e-05	 5.84469e-05
-2.4	-2.1	20	25	0.934605	0.00119692	 0.00121685
-2.1	-1.6	20	25	0.92802	0.000929941	 0.000931543
-1.6	-1.2	20	25	0.974714	0.000615706	 0.000605345
-1.2	-0.8	20	25	0.955473	0.000838701	 0.000843655
-0.8	-0.3	20	25	0.962211	0.000663105	 0.000663961
-0.3	-0.2	20	25	0.864994	0.00270481	 0.00271924
-0.2	0.2	20	25	0.953264	0.000788008	 0.000790162
0.2	0.3	20	25	0.869357	0.00271445	 0.00271976
0.3	0.8	20	25	0.958192	0.000711425	 0.0007049
0.8	1.2	20	25	0.950784	0.000837714	 0.000841233
1.2	1.6	20	25	0.969528	0.000649486	 0.000657011
1.6	2.1	20	25	0.93519	0.000980031	 0.000951713
2.1	2.4	20	25	0.945845	0.00123353	 0.00125222
-2.4	-2.1	25	30	0.938699	0.000946031	 0.000937701
-2.1	-1.6	25	30	0.930053	0.000732927	 0.000725705
-1.6	-1.2	25	30	0.975255	0.000471614	 0.000465162
-1.2	-0.8	25	30	0.955008	0.000625395	 0.000624242
-0.8	-0.3	25	30	0.96305	0.000456009	 0.000452271
-0.3	-0.2	25	30	0.86892	0.00179055	 0.00179865
-0.2	0.2	25	30	0.955553	0.000502395	 0.000504566
0.2	0.3	25	30	0.873131	0.00175919	 0.00175445
0.3	0.8	25	30	0.959761	0.000470856	 0.000470844
0.8	1.2	25	30	0.951387	0.000647344	 0.000645907
1.2	1.6	25	30	0.970342	0.000522749	 0.000521636
1.6	2.1	25	30	0.935989	0.000693	 0.000694025
2.1	2.4	25	30	0.948408	0.000898105	 0.000900409
-2.4	-2.1	30	40	0.942091	0.000506304	 0.000502269
-2.1	-1.6	30	40	0.930073	0.00038092	 0.000377659
-1.6	-1.2	30	40	0.975588	0.000236699	 0.000234927
-1.2	-0.8	30	40	0.953362	0.00029434	 0.000294683
-0.8	-0.3	30	40	0.962992	0.000213865	 0.000212602
-0.3	-0.2	30	40	0.868955	0.000878836	 0.000880254
-0.2	0.2	30	40	0.954203	0.000258686	 0.000258656
0.2	0.3	30	40	0.874936	0.000863662	 0.000859387
0.3	0.8	30	40	0.959768	0.000221845	 0.000221739
0.8	1.2	30	40	0.949774	0.000305304	 0.000304748
1.2	1.6	30	40	0.969953	0.00026126	 0.000260715
1.6	2.1	30	40	0.934989	0.00036629	 0.00036789
2.1	2.4	30	40	0.950371	0.000468599	 0.000470995
-2.4	-2.1	40	60	0.943443	0.000438895	 0.00044354
-2.1	-1.6	40	60	0.930272	0.000294552	 0.000295587
-1.6	-1.2	40	60	0.971068	0.000190741	 0.000191357
-1.2	-0.8	40	60	0.953281	0.000224324	 0.00022425
-0.8	-0.3	40	60	0.962819	0.000170419	 0.000172725
-0.3	-0.2	40	60	0.866644	0.00074077	 0.000745286
-0.2	0.2	40	60	0.954167	0.000214994	 0.000214971
0.2	0.3	40	60	0.873252	0.000732038	 0.000732699
0.3	0.8	40	60	0.959482	0.000185595	 0.000185221
0.8	1.2	40	60	0.949554	0.000233612	 0.000232533
1.2	1.6	40	60	0.969016	0.000286241	 0.000285517
1.6	2.1	40	60	0.933749	0.000286241	 0.000285517
2.1	2.4	40	60	0.951709	0.000401405	 0.000399627
-2.4	-2.1	60	100	0.94549	0.00153423	 0.00154287
-2.1	-1.6	60	100	0.931691	0.000966917	 0.000971493
-1.6	-1.2	60	100	0.947785	0.000826576	 0.000828163
-1.2	-0.8	60	100	0.952742	0.000752937	 0.000756676
-0.8	-0.3	60	100	0.959986	0.000586113	 0.000585426
-0.3	-0.2	60	100	0.860852	0.00243481	 0.00243226
-0.2	0.2	60	100	0.953008	0.000702519	 0.000705725
0.2	0.3	60	100	0.865508	0.00237799	 0.00238862
0.3	0.8	60	100	0.95676	0.000592711	 0.000597388
0.8	1.2	60	100	0.948493	0.000786136	 0.000789689
1.2	1.6	60	100	0.958737	0.000721838	 0.000726929
1.6	2.1	60	100	0.934286	0.000969318	 0.000970607
2.1	2.4	60	100	0.952734	0.00145928	 0.00147226
-2.4	-2.1	100	200	0.945877	0.00848788	 0.00890641
-2.1	-1.6	100	200	0.929775	0.00429343	 0.00440433
-1.6	-1.2	100	200	0.932112	0.00365793	 0.0037394
-1.2	-0.8	100	200	0.937885	0.00278119	 0.00288051
-0.8	-0.3	100	200	0.953557	0.00190752	 0.00192956
-0.3	-0.2	100	200	0.826495	0.00747549	 0.00755914
-0.2	0.2	100	200	0.946968	0.00227103	 0.00231373
0.2	0.3	100	200	0.854727	0.00770215	 0.0078796
0.3	0.8	100	200	0.953895	0.00298671	 0.00295473
0.8	1.2	100	200	0.94052	0.00298671	 0.00295473
1.2	1.6	100	200	0.930646	0.00378693	 0.00381822
1.6	2.1	100	200	0.928734	0.00440097	 0.00452755
2.1	2.4	100	200	0.955474	0.0090237	 0.00929206
