etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	11	0	0	 0
-2.1	-1.6	10	11	0	0	 0
-1.6	-1.2	10	11	0	0	 0
-1.2	-0.8	10	11	0	0	 0
-0.8	-0.3	10	11	0	0	 0
-0.3	-0.2	10	11	0	0	 0
-0.2	0	10	11	0	0	 0
0	0.2	10	11	0	0	 0
0.2	0.3	10	11	0	0	 0
0.3	0.8	10	11	0	0	 0
0.8	1.2	10	11	0	0	 0
1.2	1.6	10	11	0	0	 0
1.6	2.1	10	11	0	0	 0
2.1	2.4	10	11	0	0	 0
-2.4	-2.1	11	12	0	0	 0
-2.1	-1.6	11	12	0	0	 0
-1.6	-1.2	11	12	0	0	 0
-1.2	-0.8	11	12	0	0	 0
-0.8	-0.3	11	12	0	0	 0
-0.3	-0.2	11	12	0	0	 0
-0.2	0	11	12	0	0	 0
0	0.2	11	12	0	0	 0
0.2	0.3	11	12	0	0	 0
0.3	0.8	11	12	0	0	 0
0.8	1.2	11	12	0	0	 0
1.2	1.6	11	12	0	0	 0
1.6	2.1	11	12	0	0	 0
2.1	2.4	11	12	0	0	 0
-2.4	-2.1	12	13	0	0	 0
-2.1	-1.6	12	13	0	0	 0
-1.6	-1.2	12	13	0	0	 0
-1.2	-0.8	12	13	0	0	 0
-0.8	-0.3	12	13	0	0	 0
-0.3	-0.2	12	13	0	0	 0
-0.2	0	12	13	0	0	 0
0	0.2	12	13	0	0	 0
0.2	0.3	12	13	0	0	 0
0.3	0.8	12	13	0	0	 0
0.8	1.2	12	13	0	0	 0
1.2	1.6	12	13	0	0	 0
1.6	2.1	12	13	0	0	 0
2.1	2.4	12	13	0	0	 0
-2.4	-2.1	13	14	0	0	 0
-2.1	-1.6	13	14	0	0	 0
-1.6	-1.2	13	14	0	0	 0
-1.2	-0.8	13	14	0	0	 0
-0.8	-0.3	13	14	0	0	 0
-0.3	-0.2	13	14	0	0	 0
-0.2	0	13	14	0	0	 0
0	0.2	13	14	0	0	 0
0.2	0.3	13	14	0	0	 0
0.3	0.8	13	14	0	0	 0
0.8	1.2	13	14	0	0	 0
1.2	1.6	13	14	0	0	 0
1.6	2.1	13	14	0	0	 0
2.1	2.4	13	14	0	0	 0
-2.4	-2.1	14	15	0	0	 0
-2.1	-1.6	14	15	0	0	 0
-1.6	-1.2	14	15	0	0	 0
-1.2	-0.8	14	15	0	0	 0
-0.8	-0.3	14	15	0	0	 0
-0.3	-0.2	14	15	0	0	 0
-0.2	0	14	15	0	0	 0
0	0.2	14	15	0	0	 0
0.2	0.3	14	15	0	0	 0
0.3	0.8	14	15	0	0	 0
0.8	1.2	14	15	0	0	 0
1.2	1.6	14	15	0	0	 0
1.6	2.1	14	15	0	0	 0
2.1	2.4	14	15	0	0	 0
-2.4	-2.1	15	16	0.00652076	0.00572164	 0.00358972
-2.1	-1.6	15	16	0	0	 0
-1.6	-1.2	15	16	0	0	 0
